"rid", "binaryID"
64,10000000000000000000000000000000010000000000000000
665,10000000000000000000000000000000010000000000000010
669,10000000000000000000000000000000010000000000000011
640,10000000000000000000000000000000010000000000000100
627,10000000000000000000000000000000010000000000000110
99,10000000000000000000000000000000010000000000001000
263,10000000000000000000000000000000010000100000000000
311,10000000000000000000000000010000000000000000000000
772,10000000000000000000000000010000000000000000000001
442,10000000000000000000000000010000000000000000011000
320,10000000000000000000000000010000000000000001000000
429,10000000000000000000000000010000000000000001000001
375,10000000000000000000000000010000000000000001100000
338,10000000000000000000000000010000000000000010000000
65,100000000000000000000000000000000100000000000000000
645,100000000000000000000000000000000100000000000001100
652,100000000000000000000000000000000100000000000001101
100,100000000000000000000000000000000100000000000010000
198,100000000000000000000000000000000100000000000010001
264,100000000000000000000000000000000100001000000000000
312,100000000000000000000000000100000000000000000000000
464,100000000000000000000000000100000000000000000000010
321,100000000000000000000000000100000000000000010000000
427,100000000000000000000000000100000000000000010000001
339,100000000000000000000000000100000000000000100000000
66,1000000000000000000000000000000001000000000000000000
668,1000000000000000000000000000000001000000000000000001
101,1000000000000000000000000000000001000000000000100000
199,1000000000000000000000000000000001000000000000100010
265,1000000000000000000000000000000001000010000000000000
313,1000000000000000000000000001000000000000000000000000
467,1000000000000000000000000001000000000000000000000001
469,1000000000000000000000000001000000000000000000000100
470,1000000000000000000000000001000000000000000000000101
322,1000000000000000000000000001000000000000000100000000
422,1000000000000000000000000001000000000000000100000010
423,1000000000000000000000000001000000000000000100000011
340,1000000000000000000000000001000000000000001000000000
67,10000000000000000000000000000000010000000000000000000
102,10000000000000000000000000000000010000000000001000000
595,10000000000000000000000000000000010000000000001000001
200,10000000000000000000000000000000010000000000001000100
266,10000000000000000000000000000000010000100000000000000
323,10000000000000000000000000010000000000000001000000000
437,10000000000000000000000000010000000000000001000000001
341,10000000000000000000000000010000000000000010000000000
68,100000000000000000000000000000000100000000000000000000
103,100000000000000000000000000000000100000000000010000000
201,100000000000000000000000000000000100000000000010001000
576,100000000000000000000000000000000100000000000010001001
324,100000000000000000000000000100000000000000010000000000
426,100000000000000000000000000100000000000000010000000001
342,100000000000000000000000000100000000000000100000000000
69,1000000000000000000000000000000001000000000000000000000
104,1000000000000000000000000000000001000000000000100000000
202,1000000000000000000000000000000001000000000000100010000
584,1000000000000000000000000000000001000000000000100010001
553,1000000000000000000000000000000001000000000000100010010
554,1000000000000000000000000000000001000000000000100010011
325,1000000000000000000000000001000000000000000100000000000
446,1000000000000000000000000001000000000000000100000000001
424,1000000000000000000000000001000000000000000100000000010
343,1000000000000000000000000001000000000000001000000000000
70,10000000000000000000000000000000010000000000000000000000
105,10000000000000000000000000000000010000000000001000000000
636,10000000000000000000000000000000010000000000001000000001
203,10000000000000000000000000000000010000000000001000100000
568,10000000000000000000000000000000010000000000001000100001
537,10000000000000000000000000000000010000000000001000100100
538,10000000000000000000000000000000010000000000001000100101
874,10000000000000000000000000000000010000000000001000100110
326,10000000000000000000000000010000000000000001000000000000
